Date,MaxT,MinT,AverageT
2019.1.2,7.7727633,0.48107135,4.0999928
2019.1.3,7.816638,0.44813323,4.0995164
2019.1.4,7.803657,0.46997118,4.1129413
2019.1.5,7.5526953,0.45904142,3.9988637
2019.1.6,8.114768,0.70575076,4.400366
2019.1.7,8.39571,0.8923302,4.6373787
2019.1.8,8.594777,0.91668326,4.734342
2019.1.9,8.42146,0.7914304,4.5733824
2019.1.10,8.231844,0.6969625,4.42976
2019.1.11,7.9006305,0.47947502,4.1557775
2019.1.12,7.6071053,0.40907508,3.9877815
2019.1.13,7.590102,0.50774133,4.045715
2019.1.14,7.9451666,0.6414757,4.2854295
2019.1.15,8.383822,0.81616455,4.5839434
2019.1.16,8.518328,0.9678549,4.735446
2019.1.17,8.463361,0.90402895,4.6710386
2019.1.18,8.603534,0.8780077,4.7169447
2019.1.19,8.217905,0.6935276,4.424507
2019.1.20,8.238791,0.6415077,4.403045
2019.1.21,7.9621515,0.49515775,4.186988
2019.1.22,7.580001,0.3316878,3.9041162
2019.1.23,6.783122,0.11834545,3.4114451
2019.1.24,6.931691,0.14858317,3.5027037
2019.1.25,5.895121,-0.081272036,2.9014316
2019.1.26,5.042329,-0.18830279,2.4506152
2019.1.27,6.3496995,0.041351527,3.195522
2019.1.28,7.0660095,0.20974192,3.6214693
2019.1.29,6.9049473,0.17334962,3.5267625
2019.1.30,6.902347,0.14133705,3.5018787
2019.1.31,7.2210083,0.20128006,3.6858664
2019.2.1,7.2661724,0.25366077,3.742817
2019.2.2,7.3631396,0.28921166,3.8075628
2019.2.3,7.425855,0.32726,3.8544178
2019.2.4,7.8591404,0.44622403,4.1109376
2019.2.5,7.7536883,0.42274046,4.052356
2019.2.6,7.5844965,0.37537515,3.9482923
2019.2.7,7.1617475,0.3794815,3.7724438
2019.2.8,7.6127167,0.6012965,4.1147513
2019.2.9,7.9437103,0.64880615,4.2826858
2019.2.10,7.966589,0.69813806,4.3153334
2019.2.11,8.397442,0.79037124,4.5588045
2019.2.12,8.61403,0.9330248,4.7488623
2019.2.13,7.9330044,0.7648955,4.3513393
2019.2.14,7.9495397,0.8749089,4.42067
2019.2.15,8.27106,0.85491675,4.542275
2019.2.16,8.379748,0.7684241,4.5427227
2019.2.17,8.171758,0.6416761,4.3818502
2019.2.18,7.805708,0.5758937,4.182276
2019.2.19,7.321763,0.43041676,3.871058
2019.2.20,7.869438,0.49171534,4.1525025
2019.2.21,8.133672,0.5855324,4.3277006
2019.2.22,7.901457,0.47147745,4.1567507
2019.2.23,7.7516108,0.48424223,4.1021624
2019.2.24,8.153731,0.67060894,4.3953934
2019.2.25,8.425359,0.8535362,4.626992
2019.2.26,9.303859,1.2541561,5.245459
2019.2.27,9.643065,1.5327036,5.5567603
2019.2.28,10.0489855,1.9384961,5.965758
2019.3.1,10.766,2.5942054,6.645415
2019.3.2,11.449826,3.2256856,7.28893
2019.3.3,10.291154,2.1692612,6.196741
2019.3.4,9.844817,1.9223917,5.862068
2019.3.5,9.710397,1.7897587,5.730586
2019.3.6,9.493235,1.5028887,5.478094
2019.3.7,8.9235735,1.0644102,4.9690943
2019.3.8,9.125205,1.2368519,5.1613398
2019.3.9,9.69172,1.6582787,5.653205
2019.3.10,10.0306,1.9011667,5.938966
2019.3.11,10.256524,1.9951112,6.086297
2019.3.12,11.07824,2.7138596,6.8396425
2019.3.13,11.573416,3.3035007,7.377426
2019.3.14,11.497125,3.4633188,7.4306965
2019.3.15,11.733776,3.7305727,7.6939106
2019.3.16,11.190648,2.9884782,7.0482216
2019.3.17,10.109015,2.0283844,6.041484
2019.3.18,9.389546,1.5078182,5.4266863
2019.3.19,9.8388815,1.8091931,5.802635
2019.3.20,9.822036,1.7283652,5.7490597
2019.3.21,9.708133,1.5530293,5.596938
2019.3.22,10.218906,2.012897,6.0810556
2019.3.23,11.662114,3.3610034,7.4475822
2019.3.24,12.876558,4.586165,8.62949
2019.3.25,13.7481165,5.565622,9.532319
2019.3.26,15.06732,7.1474237,10.961474
2019.3.27,16.140064,8.553912,12.2321
2019.3.28,16.90364,9.526139,13.162607
2019.3.29,16.94015,9.521033,13.175689
2019.3.30,16.64802,9.084258,12.768156
2019.3.31,15.954382,8.169495,11.910655
2019.4.1,16.997807,9.338843,13.032499
2019.4.2,18.226627,10.92204,14.551474
2019.4.3,19.106932,11.888331,15.50812
2019.4.4,18.591469,11.327576,14.959279
2019.4.5,17.081478,9.749,13.376843
2019.4.6,15.395614,7.7908273,11.484437
2019.4.7,15.887469,8.411833,12.0729475
2019.4.8,15.080476,7.2781687,11.062885
2019.4.9,14.822473,6.7429843,10.6251745
2019.4.10,16.360722,8.702281,12.401013
2019.4.11,17.699942,10.288756,13.93547
2019.4.12,19.31995,12.091134,15.70707
2019.4.13,18.807304,11.573651,15.192119
2019.4.14,17.357727,9.989312,13.627212
2019.4.15,16.89073,9.503733,13.1433
2019.4.16,17.079012,9.66145,13.318832
2019.4.17,16.082691,8.331473,12.066676
2019.4.18,16.11325,8.320002,12.054208
2019.4.19,17.875193,10.325784,13.990409
2019.4.20,19.368423,12.125272,15.734343
2019.4.21,20.325806,13.228763,16.791348
2019.4.22,20.003368,12.812357,16.39972
2019.4.23,20.280544,13.127055,16.695654
2019.4.24,20.109608,12.907554,16.487593
2019.4.25,21.410921,14.413703,17.912664
2019.4.26,22.017265,15.109198,18.551756
2019.4.27,22.145844,15.222766,18.659966
2019.4.28,22.75483,15.897592,19.286322
2019.4.29,23.63527,16.92402,20.203201
2019.4.30,23.980927,17.337048,20.56815
2019.5.1,24.465363,18.05265,21.158197
2019.5.2,24.115662,17.660439,20.817617
2019.5.3,23.092712,16.406029,19.728151
2019.5.4,21.347147,14.437649,17.918749
2019.5.5,19.25258,12.121543,15.7094
2019.5.6,18.425873,11.260709,14.8713045
2019.5.7,17.470573,10.234925,13.857015
2019.5.8,15.245009,7.5791483,11.314208
2019.5.9,13.9004755,5.633792,9.626617
2019.5.10,15.01908,6.921862,10.794339
2019.5.11,17.453087,9.74266,13.440873
2019.5.12,19.716171,12.399312,16.011595
2019.5.13,21.482004,14.425977,17.930754
2019.5.14,23.09793,16.256733,19.614988
2019.5.15,24.742847,18.21352,21.338655
2019.5.16,24.8497,18.389732,21.473509
2019.5.17,25.721367,19.787811,22.546825
2019.5.18,25.748348,19.74236,22.547258
2019.5.19,24.611494,18.200405,21.305265
2019.5.20,22.472603,15.618593,19.020304
